cam1_X,cam1_Y
323.687649,696.859015
262.855573,731.162051
264.005240,719.701261
177.908713,772.367009
504.858537,701.692581
476.736863,734.552589
439.953938,761.566762
NaN,NaN
667.483039,765.331939
887.024070,725.753138
932.915828,768.077645
181.397162,523.901484
427.832009,526.799841
479.708366,504.449122
508.404716,504.841976
685.135393,528.484882
670.158653,510.880717
931.378840,531.687712
184.149639,283.519806
259.129730,313.245485
442.774242,286.269792
480.961328,301.544832
468.820998,301.657994
509.713018,333.822010
686.514908,287.199327
NaN,NaN
689.747749,336.531511
887.513036,317.506002
931.310228,274.706670
186.313567,28.700212
NaN,NaN
445.613819,41.040740
483.283286,104.012252
470.779888,103.663025
668.540346,41.014240
NaN,NaN
887.661709,103.509223
932.222850,28.420413
