x,y,z
3.3,0,91.65
0,0,180
3.3,0,180
3.3,58.9,3.3
3.3,62.2,91.65
3.3,58.9,180
3.3,62.2,180
0,117.8,0
3.3,121.1,91.65
3.3,117.8,180
0,180,180
3.3,180,91.65
58.9,0,91.65
58.9,58.9,180
58.9,62.2,180
58.9,117.8,180
58.9,121.1,180
58.9,180,180
117.8,0,91.65
121.1,0,91.65
121.1,0,180
117.8,58.9,3.3
117.8,58.9,91.65
117.8,58.9,180
117.8,62.2,3.3
117.8,62.2,91.65
117.8,62.2,180
117.8,117.8,91.65
117.8,117.8,180
121.1,121.1,180
121.1,117.8,180
121.1,180,180
176.7,3.3,91.65
180,0,180
176.7,58.9,91.65
180,58.9,91.65
176.7,58.9,180
176.7,117.8,91.65
176.7,117.8,180
176.7,180,91.65
180,180,180
